experience_coding,python_user,r_user,sql_user,most_used,compensation,position
0.0,False,False,False,,74289,Beginner
21.4,True,False,True,Scikit-learn,226171,Expert
2.5,True,False,False,TensorFlow,74445,Beginner
7.6,True,True,False,TensorFlow,67863,Junior
22.8,False,False,True,,65871,Expert
1.7,True,False,True,,67736,Beginner
2.6,True,False,True,Scikit-learn,785,Beginner
2.1,True,False,False,Scikit-learn,28073,Beginner
1.9,True,False,True,TensorFlow,20390,Beginner
3.2,True,False,False,Scikit-learn,4791,Beginner
7.2,False,False,True,,16059,Junior
14.1,True,False,False,Keras,62115,Intermediate
1.9,True,False,False,Scikit-learn,73319,Beginner
0.93,False,False,False,,44491,Beginner
9.6,True,False,False,,74588,Junior
1.4,True,True,False,,74799,Beginner
0.45,True,False,False,,57207,Beginner
3.2,True,False,False,Keras,14370,Beginner
1.0,True,False,True,Scikit-learn,57816,Beginner
4.4,True,False,False,TensorFlow,62513,Beginner
17.7,True,False,False,Keras,61763,Senior
8.7,False,True,False,,50427,Junior
28.9,True,True,True,Scikit-learn,1129,Expert
0.58,True,False,False,,59687,Beginner
1.3,False,False,False,,67959,Beginner
11.3,False,True,False,,62849,Intermediate
3.1,True,False,True,Scikit-learn,1337,Beginner
2.5,True,False,False,Keras,72317,Beginner
5.9,True,False,True,Keras,31044,Beginner
2.7,True,False,True,Keras,66163,Beginner
1.1,True,False,True,Scikit-learn,11165,Beginner
16.5,False,True,False,Scikit-learn,68871,Senior
7.5,True,False,True,Keras,22332,Junior
25.2,True,True,False,Scikit-learn,6196,Expert
0.88,True,False,False,,388,Beginner
0.6,True,False,False,Scikit-learn,12925,Beginner
4.1,True,False,True,Scikit-learn,3092,Beginner
8.2,True,False,False,PyTorch,8880,Junior
5.7,True,False,False,PyTorch,65433,Beginner
0.49,True,False,False,Scikit-learn,13423,Beginner
2.6,True,False,False,Scikit-learn,4704,Beginner
2.2,True,False,False,Keras,740,Beginner
9.2,True,False,False,Scikit-learn,64640,Junior
4.0,True,False,True,Scikit-learn,63,Beginner
28.6,True,False,True,,79687,Expert
0.6,True,False,False,Scikit-learn,63155,Beginner
2.9,True,False,True,,54825,Beginner
29.7,True,False,False,TensorFlow,61352,Expert
1.7,True,False,False,,64184,Beginner
24.0,True,False,True,Keras,130578,Expert
1.7,True,False,False,PyTorch,57821,Beginner
0.66,True,True,True,,52061,Beginner
3.2,True,False,True,Scikit-learn,2279,Beginner
2.2,True,True,False,Scikit-learn,73945,Beginner
0.97,True,False,False,TensorFlow,62225,Beginner
0.73,True,False,False,,52153,Beginner
6.1,True,False,True,Keras,32815,Junior
3.3,True,False,True,PyTorch,178,Beginner
0.34,True,False,False,Scikit-learn,553,Beginner
5.3,True,False,True,TensorFlow,64796,Beginner
0.93,True,False,False,Scikit-learn,51701,Beginner
4.3,True,False,False,,70917,Beginner
2.7,False,False,False,,1672,Beginner
1.4,False,False,True,,561,Beginner
13.7,False,False,True,,64214,Intermediate
3.6,True,False,True,Scikit-learn,32809,Beginner
1.5,True,False,True,Scikit-learn,61430,Beginner
0.42,False,False,True,TensorFlow,2852,Beginner
29.1,True,False,True,Scikit-learn,124867,Expert
23.9,True,False,True,Scikit-learn,55354,Expert
0.0,False,False,False,,341,Beginner
2.2,True,False,True,Scikit-learn,3241,Beginner
10.0,True,False,True,Keras,114569,Junior
0.93,True,True,True,,5068,Beginner
9.2,True,False,True,TensorFlow,53406,Junior
15.1,True,True,True,PyTorch,67586,Intermediate
14.6,True,False,False,PyTorch,368,Intermediate
1.8,True,False,False,PyTorch,66719,Beginner
9.6,True,True,True,,61028,Junior
3.2,True,False,False,TensorFlow,380,Beginner
2.4,True,False,True,Scikit-learn,104,Beginner
1.9,True,False,False,PyTorch,57262,Beginner
0.98,False,False,False,,72756,Beginner
16.7,True,False,True,Scikit-learn,117471,Senior
6.6,True,False,True,,948,Junior
1.6,True,False,False,TensorFlow,3458,Beginner
3.7,True,True,False,TensorFlow,62798,Beginner
2.7,False,False,False,,59402,Beginner
0.53,True,False,False,Scikit-learn,54542,Beginner
0.77,True,True,False,Scikit-learn,69584,Beginner
0.76,True,False,True,TensorFlow,2762,Beginner
0.73,True,False,False,,51493,Beginner
0.34,True,False,True,Keras,397,Beginner
24.7,True,False,False,Keras,268277,Expert
1.4,True,True,True,Scikit-learn,13504,Beginner
11.7,False,False,False,Scikit-learn,236436,Intermediate
3.9,True,False,True,Scikit-learn,69429,Beginner
15.0,True,True,True,Scikit-learn,183614,Intermediate
4.7,True,False,False,Scikit-learn,62053,Beginner
0.41,False,False,False,,20029,Beginner
0.0,False,False,False,,64,Beginner
2.3,True,False,True,,55068,Beginner
2.2,True,True,True,Keras,2756,Beginner
1.0,True,False,False,Keras,68080,Beginner
1.9,True,False,True,,51110,Beginner
0.44,True,False,False,Scikit-learn,6055,Beginner
0.0,False,False,False,,566,Beginner
2.9,True,False,True,,57222,Beginner
29.0,True,True,False,TensorFlow,30662,Expert
12.0,True,False,False,,57836,Intermediate
3.2,True,False,False,TensorFlow,8651,Beginner
3.2,True,False,False,PyTorch,50354,Beginner
1.5,True,False,False,TensorFlow,67366,Beginner
1.8,False,False,True,,3181,Beginner
0.75,True,False,False,Keras,50292,Beginner
20.1,False,True,False,,26892,Senior
19.2,True,False,False,PyTorch,70349,Senior
8.7,True,True,True,Scikit-learn,11195,Junior
0.0,False,False,False,,51080,Beginner
4.9,False,False,False,,9638,Beginner
21.5,True,False,False,Scikit-learn,441,Expert
1.6,True,False,False,TensorFlow,15222,Beginner
0.37,True,False,False,PyTorch,748,Beginner
17.4,True,False,False,Scikit-learn,65215,Senior
4.6,True,False,False,Keras,25696,Beginner
5.2,True,False,False,Scikit-learn,54268,Beginner
9.5,True,False,True,PyTorch,62430,Junior
1.2,True,True,True,,57599,Beginner
2.0,True,False,False,,61169,Beginner
2.5,True,False,False,Scikit-learn,72278,Beginner
1.6,True,False,False,,56628,Beginner
1.7,True,True,True,Scikit-learn,58598,Beginner
18.3,True,False,True,,104890,Senior
6.1,True,False,True,TensorFlow,70778,Junior
0.48,True,False,False,Scikit-learn,1920,Beginner
2.9,True,True,True,Scikit-learn,64650,Beginner
2.9,True,False,True,Scikit-learn,61957,Beginner
1.6,True,True,False,PyTorch,280,Beginner
2.4,True,False,True,,53807,Beginner
5.1,True,True,False,Scikit-learn,4278,Beginner
0.43,True,False,True,,62815,Beginner
0.81,True,True,True,Scikit-learn,55603,Beginner
10.5,True,False,False,,45474,Junior
0.22,True,True,True,,59812,Beginner
1.8,True,False,True,Keras,10176,Beginner
9.1,True,True,True,TensorFlow,3449,Junior
4.3,True,False,False,Keras,330,Beginner
7.7,True,False,False,,50545,Junior
8.1,True,True,False,TensorFlow,303,Junior
4.1,False,True,False,Keras,64186,Beginner
1.7,True,True,False,,1426,Beginner
1.4,True,False,False,Scikit-learn,750,Beginner
22.9,True,False,True,TensorFlow,74868,Expert
18.5,True,False,True,Scikit-learn,26708,Senior
2.2,True,False,True,PyTorch,64493,Beginner
0.42,True,True,True,TensorFlow,79,Beginner
24.1,False,False,True,,72549,Expert
5.8,True,False,True,Keras,28039,Beginner
0.93,False,False,False,,59061,Beginner
4.8,True,False,False,Scikit-learn,69723,Beginner
2.6,True,False,True,Scikit-learn,69452,Beginner
3.1,True,False,True,Keras,22665,Beginner
4.0,True,False,False,Scikit-learn,214,Beginner
9.9,True,False,False,Scikit-learn,2355,Junior
7.2,True,True,True,Keras,162385,Junior
5.4,True,False,True,TensorFlow,5871,Beginner
8.3,True,False,True,TensorFlow,853,Junior
2.9,True,False,True,PyTorch,3929,Beginner
0.54,True,False,True,Scikit-learn,58863,Beginner
0.55,True,False,False,TensorFlow,8009,Beginner
0.0,False,False,False,,68498,Beginner
0.36,False,False,False,,1948,Beginner
1.0,True,False,True,PyTorch,69648,Beginner
6.3,True,True,True,,74877,Junior
2.3,True,False,False,Keras,65598,Beginner
0.68,False,False,True,,54524,Beginner
1.6,True,False,True,Keras,66262,Beginner
0.0,False,False,False,,4427,Beginner
0.58,False,False,False,,31841,Beginner
0.85,True,False,False,,54481,Beginner
2.9,True,False,True,Scikit-learn,57717,Beginner
3.4,True,True,True,Scikit-learn,25721,Beginner
25.4,True,False,True,Scikit-learn,64217,Expert
8.8,True,False,True,TensorFlow,2203,Junior
5.5,True,True,False,TensorFlow,62142,Beginner
4.2,True,False,True,Scikit-learn,12573,Beginner
14.2,True,False,True,TensorFlow,13212,Intermediate
2.8,True,False,False,Scikit-learn,71758,Beginner
5.2,False,False,False,,4306,Beginner
1.6,True,False,True,Scikit-learn,835,Beginner
1.3,True,False,False,Scikit-learn,601,Beginner
4.9,True,True,True,Scikit-learn,61209,Beginner
0.0,False,False,False,,365,Beginner
0.4,True,False,False,,702,Beginner
0.93,True,True,True,,67436,Beginner
2.4,True,False,False,Keras,73296,Beginner
10.7,True,False,False,TensorFlow,63999,Junior
2.1,True,False,True,Keras,58760,Beginner
2.4,True,True,True,Scikit-learn,70522,Beginner
14.8,False,True,True,,78489,Intermediate
3.5,True,False,True,,59768,Beginner
21.8,True,True,False,Scikit-learn,53040,Expert
4.3,True,True,True,Scikit-learn,1894,Beginner
12.9,True,False,False,Scikit-learn,124879,Intermediate
2.5,True,True,True,PyTorch,98886,Beginner
0.96,True,False,False,PyTorch,797,Beginner
1.9,False,True,False,,67900,Beginner
21.7,True,False,True,PyTorch,169111,Expert
0.27,True,True,False,,69490,Beginner
16.8,True,False,False,PyTorch,18059,Senior
1.8,True,False,False,,61535,Beginner
27.8,True,True,False,TensorFlow,279,Expert
1.0,True,True,False,Scikit-learn,4951,Beginner
8.2,True,False,True,Scikit-learn,675,Junior
2.5,True,True,True,,66662,Beginner
2.2,True,False,True,Scikit-learn,5345,Beginner
1.3,True,False,False,Scikit-learn,15827,Beginner
7.1,True,True,True,Scikit-learn,268,Junior
10.0,False,False,False,,63128,Junior
0.95,True,False,False,Scikit-learn,51943,Beginner
6.3,False,True,False,,7606,Junior
1.8,True,False,True,TensorFlow,55361,Beginner
0.29,True,False,False,,2284,Beginner
4.9,True,True,False,Scikit-learn,13232,Beginner
0.73,True,False,False,Scikit-learn,70,Beginner
3.7,True,False,False,Scikit-learn,51162,Beginner
5.1,True,False,True,Scikit-learn,24490,Beginner
1.9,True,False,False,TensorFlow,58763,Beginner
0.21,True,True,True,,57140,Beginner
0.36,True,False,False,,53937,Beginner
9.9,True,True,True,Keras,10720,Junior
1.3,True,False,True,,55375,Beginner
13.1,True,False,True,TensorFlow,9526,Intermediate
0.33,True,False,False,Scikit-learn,74828,Beginner
2.8,True,True,False,Scikit-learn,584,Beginner
1.4,True,False,False,TensorFlow,42097,Beginner
2.7,True,False,False,Keras,62804,Beginner
1.7,True,False,False,,4296,Beginner
1.1,True,False,False,Scikit-learn,60567,Beginner
5.6,True,True,True,,102894,Beginner
0.7,False,True,True,,29160,Beginner
0.73,True,True,True,Scikit-learn,1491,Beginner
2.8,False,False,False,Keras,614,Beginner
9.4,True,False,True,Keras,37053,Junior
2.4,True,False,True,PyTorch,181179,Beginner
3.0,True,False,False,,55377,Beginner
8.4,True,False,True,Scikit-learn,6947,Junior
3.4,True,False,True,Scikit-learn,21934,Beginner
0.64,True,False,True,,65,Beginner
1.4,True,False,True,,57123,Beginner
2.0,True,False,True,Scikit-learn,1943,Beginner
2.2,True,False,False,Keras,67032,Beginner
3.8,True,False,True,,63358,Beginner
3.2,True,False,False,Scikit-learn,28,Beginner
0.95,True,False,False,Scikit-learn,3519,Beginner
2.6,False,True,False,,356,Beginner
14.2,True,False,False,TensorFlow,158644,Intermediate
0.64,True,False,False,Scikit-learn,7226,Beginner
16.7,True,False,True,Scikit-learn,12915,Senior
0.83,True,True,True,PyTorch,73268,Beginner
2.9,True,False,True,,57188,Beginner
0.49,True,False,False,Scikit-learn,102,Beginner
19.6,True,False,True,Scikit-learn,3032,Senior
1.1,True,False,False,,123071,Beginner
0.57,True,False,True,PyTorch,250388,Beginner
2.1,True,False,True,TensorFlow,70915,Beginner
2.4,True,False,True,,201,Beginner
16.9,True,True,True,,246015,Senior
2.9,True,False,False,TensorFlow,11378,Beginner
9.0,False,True,False,Scikit-learn,303,Junior
3.5,True,False,False,TensorFlow,50638,Beginner
0.91,True,False,True,Scikit-learn,20749,Beginner
6.4,True,False,False,,521,Junior
7.0,True,False,True,TensorFlow,17911,Junior
2.0,False,False,True,,70675,Beginner
0.56,True,False,False,PyTorch,70432,Beginner
0.67,True,False,False,Scikit-learn,78601,Beginner
0.69,True,True,True,Scikit-learn,1282,Beginner
9.1,True,True,False,TensorFlow,99399,Junior
1.8,False,False,False,PyTorch,1503,Beginner
1.2,True,False,True,Keras,53171,Beginner
9.6,False,False,False,,57165,Junior
16.6,True,True,True,Scikit-learn,25114,Senior
1.1,True,False,False,Keras,26960,Beginner
9.0,True,False,False,Scikit-learn,60063,Junior
0.0,False,False,False,,610,Beginner
4.5,True,False,False,Keras,69739,Beginner
0.0,False,False,False,,3134,Beginner
6.8,True,False,True,Scikit-learn,66837,Junior
0.54,True,False,True,Scikit-learn,55165,Beginner
3.6,False,False,False,Keras,988,Beginner
14.6,False,False,False,,55580,Intermediate
17.0,True,True,True,TensorFlow,76201,Senior
0.67,True,False,False,Keras,64966,Beginner
0.92,False,True,False,,6350,Beginner
0.7,True,False,False,TensorFlow,74951,Beginner
6.0,True,True,False,Keras,51312,Junior
0.36,False,True,False,,666,Beginner
5.1,True,True,True,Scikit-learn,293904,Beginner
4.8,True,False,True,PyTorch,106322,Beginner
0.43,False,False,False,,60814,Beginner
0.39,True,False,False,,70572,Beginner
0.88,True,False,True,Scikit-learn,68837,Beginner
0.55,True,False,True,Scikit-learn,62093,Beginner
0.62,True,False,True,,54114,Beginner
2.8,True,False,True,PyTorch,979,Beginner
0.96,True,True,False,Scikit-learn,2235,Beginner
1.4,True,False,False,Keras,3303,Beginner
25.8,True,False,False,Scikit-learn,71650,Expert
1.5,True,False,False,,5145,Beginner
0.98,True,False,False,,56213,Beginner
3.3,False,False,False,,57850,Beginner
2.1,True,False,False,Scikit-learn,62878,Beginner
4.6,True,True,False,Scikit-learn,53195,Beginner
9.6,False,False,True,TensorFlow,2312,Junior
1.3,False,True,True,,163016,Beginner
0.26,True,False,False,TensorFlow,80274,Beginner
9.6,True,True,False,,34215,Junior
2.3,True,False,False,Scikit-learn,68870,Beginner
1.7,True,False,True,TensorFlow,245,Beginner
11.1,True,False,True,Scikit-learn,92681,Intermediate
3.3,True,False,False,Scikit-learn,72998,Beginner
0.84,True,False,False,,61803,Beginner
3.7,True,False,False,Scikit-learn,269443,Beginner
1.5,True,False,True,,58537,Beginner
1.9,True,True,True,Scikit-learn,160989,Beginner
2.9,True,False,True,Keras,21386,Beginner
25.3,True,False,False,Keras,262267,Expert
11.0,True,True,False,Scikit-learn,40701,Intermediate
14.5,False,False,False,PyTorch,14184,Intermediate
0.91,True,False,False,Keras,51286,Beginner
0.31,True,False,False,Scikit-learn,27246,Beginner
2.1,True,False,True,,894,Beginner
2.6,True,False,False,PyTorch,55032,Beginner
18.2,False,False,False,PyTorch,293074,Senior
1.2,True,True,False,,62407,Beginner
1.3,False,False,True,Scikit-learn,57986,Beginner
27.7,True,False,True,Keras,197702,Expert
0.35,True,False,False,,58495,Beginner
2.6,False,True,True,TensorFlow,60397,Beginner
0.43,True,False,True,,51395,Beginner
1.8,True,False,False,,87556,Beginner
3.7,True,False,False,PyTorch,4853,Beginner
0.92,True,False,True,Scikit-learn,4795,Beginner
7.7,True,False,True,Keras,10487,Junior
5.9,True,True,False,Keras,49634,Beginner
4.4,True,True,True,Scikit-learn,85067,Beginner
2.1,True,False,True,TensorFlow,60649,Beginner
4.5,False,False,False,,29055,Beginner
0.28,False,True,False,,402,Beginner
2.6,True,False,False,TensorFlow,12966,Beginner
0.82,True,True,True,,55051,Beginner
4.8,True,False,False,,55936,Beginner
0.53,True,False,False,TensorFlow,72312,Beginner
0.44,False,True,False,,55815,Beginner
19.8,True,False,False,PyTorch,85996,Senior
15.5,True,False,False,Scikit-learn,73483,Intermediate
0.95,True,False,False,TensorFlow,57116,Beginner
2.2,True,False,True,Keras,71248,Beginner
0.51,True,False,False,,2620,Beginner
2.9,False,False,False,,72617,Beginner
2.7,True,False,True,Scikit-learn,5838,Beginner
2.7,True,False,True,,51572,Beginner
1.9,True,True,False,,70132,Beginner
2.7,False,True,False,,53668,Beginner
0.33,False,False,False,,59530,Beginner
0.62,True,False,False,Scikit-learn,253920,Beginner
1.9,True,False,False,TensorFlow,549,Beginner
0.32,True,False,True,PyTorch,755,Beginner
3.3,True,False,False,Keras,38078,Beginner
0.54,True,False,False,Scikit-learn,525,Beginner
0.73,True,False,False,,47261,Beginner
0.0,False,False,False,,24554,Beginner
5.5,True,False,False,PyTorch,22085,Beginner
1.2,True,False,False,Keras,17937,Beginner
3.9,True,False,False,Scikit-learn,72360,Beginner
15.1,True,False,True,Keras,18607,Intermediate
2.9,True,False,False,Keras,57700,Beginner
0.83,True,False,True,Scikit-learn,1524,Beginner
7.6,True,False,False,PyTorch,18712,Junior
1.4,True,False,True,PyTorch,53965,Beginner
3.1,True,False,False,,73004,Beginner
1.5,True,False,True,TensorFlow,50276,Beginner
4.2,True,False,False,,54145,Beginner
0.34,True,True,False,Scikit-learn,322,Beginner
0.82,True,False,True,,574,Beginner
16.5,False,False,False,,12801,Senior
2.4,True,False,True,Keras,71045,Beginner
0.66,True,False,False,,69120,Beginner
8.0,True,False,True,PyTorch,82527,Junior
6.6,True,True,True,PyTorch,60748,Junior
1.0,True,False,True,Scikit-learn,490,Beginner
4.0,True,False,False,Scikit-learn,72533,Beginner
5.5,True,False,True,Scikit-learn,4320,Beginner
7.8,True,False,True,Scikit-learn,57114,Junior
2.2,True,False,False,,250,Beginner
1.3,True,False,False,,54947,Beginner
1.9,True,True,True,,56963,Beginner
1.3,True,False,True,Scikit-learn,8316,Beginner
2.2,True,False,False,Scikit-learn,63330,Beginner
0.94,False,False,False,,67994,Beginner
27.8,False,True,True,,61608,Expert
1.6,True,False,True,,60833,Beginner
1.9,True,False,False,TensorFlow,55193,Beginner
3.9,True,False,True,TensorFlow,1788,Beginner
0.62,False,False,True,Keras,51397,Beginner
9.5,True,False,True,TensorFlow,80248,Junior
2.4,True,False,False,TensorFlow,54401,Beginner
3.7,True,False,True,Scikit-learn,72472,Beginner
6.6,True,False,False,TensorFlow,67690,Junior
0.94,False,False,False,,52835,Beginner
4.8,True,False,False,Scikit-learn,70275,Beginner
2.9,True,False,False,TensorFlow,1833,Beginner
0.25,True,False,False,TensorFlow,51048,Beginner
0.56,False,False,False,,12130,Beginner
16.8,True,False,False,TensorFlow,4441,Senior
3.4,True,False,True,Keras,660,Beginner
3.3,False,False,False,TensorFlow,4356,Beginner
0.98,True,False,True,Scikit-learn,48658,Beginner
2.6,True,False,False,Scikit-learn,67022,Beginner
2.7,True,False,False,,55014,Beginner
13.3,True,False,False,PyTorch,79549,Intermediate
17.3,True,False,True,TensorFlow,61440,Senior
0.31,False,False,True,,74808,Beginner
1.7,True,True,False,,69191,Beginner
1.1,True,False,False,Scikit-learn,5414,Beginner
2.5,True,False,False,Keras,8027,Beginner
2.4,False,True,False,,304,Beginner
1.6,True,False,False,Keras,68620,Beginner
2.3,False,False,False,,68705,Beginner
